parameter,L_bin,MLT_bin,value
H_f,4,4,1.618563560515291
H_f,4,4,1.977503037820002
H_f,4,4,1.5403499671603815
H_f,4,4,0.12392455686558507
H_f,4,4,0.5010501005063839
H_f,4,4,1.9969932207819623
H_f,4,4,1.9406555647478243
H_f,4,4,1.5221901334747616
H_f,4,4,0.8002632436306159
H_f,4,4,0.3363328709895725
H_f,4,4,0.204201911162265
H_f,4,4,0.07765821549043045
H_f,4,4,1.755457674366218
H_f,4,4,1.9539221503948234
H_f,4,4,0.05795440833028903
H_f,4,4,0.617524615077942
H_f,4,4,0.09798319652477135
H_f,4,4,1.9680633798030946
H_f,4,4,1.9971763253862365
H_f,4,4,1.8766300360093167
H_f,4,4,1.510756477727605
H_f,4,4,1.2310458058890636
H_f,4,4,0.04157593964319484
H_f,4,4,0.2488864736396429
H_f,4,4,1.9808929672238458
H_f,4,4,1.6300143499574973
H_f,4,4,1.9778908231179744
H_f,4,4,0.5548111203216768
H_f,4,4,1.6330520332920133
H_f,4,4,1.5797545090894924
H_f,4,4,1.9949787772246996
H_f,4,4,0.48030628981381396
H_f,4,4,0.1095567480490922
H_f,4,4,1.0739713793534595
H_f,4,4,0.0028014587910475492
H_f,4,4,0.19870467212049425
H_f,4,4,0.5358881154808629
H_f,4,4,1.937310627323115
H_f,4,4,0.011581110068304087
H_f,4,4,0.1847475207504042
H_f,4,4,0.014597507966086002
H_f,4,4,0.41347217220204974
H_f,4,4,0.13392485480922497
H_f,4,4,1.7371446753357964
H_f,4,4,1.8444727581792497
H_f,4,4,1.638432436768415
H_f,4,4,1.7914177095494386
H_f,4,4,1.6629419417145213
H_f,4,4,0.2735351135658989
H_f,4,4,0.0029852836669152834
H_f,4,4,0.09857666271729834
H_f,4,4,0.3001613935237426
H_f,4,4,0.6653045552602584
H_f,4,4,0.906344840656157
H_f,4,4,1.0853858421521343
H_f,4,4,1.1429597057809604
H_f,4,4,1.1826271157311077
H_f,4,4,1.1347588632486982
H_f,4,4,1.2370274442848685
H_f,4,4,1.4417536886585032
H_f,4,4,0.992220452774133
H_f,4,4,0.44517337346429253
H_f,4,4,0.5354611879646628
H_f,4,4,0.6142857322211961
H_f,4,4,0.7873639370720822
H_f,4,4,0.9480305050202794
H_f,4,4,0.9406563712333175
H_f,4,4,1.112558380537376
H_f,4,4,1.314911210979407
H_f,4,4,1.3685117428311395
H_f,4,4,1.3298378130952209
H_f,4,4,1.3695004202984336
H_f,4,4,0.7305991473064489
H_f,4,4,0.13551796171791183
H_f,4,4,0.309372390137934
H_f,4,4,0.5943015416836479
H_f,4,4,0.845113318932493
H_f,4,4,1.030413260210078
H_f,4,4,1.1626137026313965
H_f,4,4,1.2460855735315717
H_f,4,4,1.3272452431546429
H_f,4,4,1.5164717194815573
H_f,4,4,1.6458241719871702
H_f,4,4,1.687131324160769
H_f,4,4,1.955546128252382
H_f,4,4,1.9534757713345559
H_f,4,4,1.250120776831776
H_f,4,4,1.1417658242407234
H_f,4,4,0.4846585408543275
H_f,4,4,0.0014692065408748903
H_f,4,4,0.4291070648571961
H_f,4,4,1.5887240418557378
H_f,4,4,0.7429732722749696
H_f,4,4,0.049997871332123085
H_f,4,4,1.5815698145527781
H_f,4,4,1.9984921819543697
H_f,4,4,1.445739974034704
H_f,4,4,1.5910477846531792
H_f,4,4,1.5283764229885566
H_f,4,4,1.5630987246439485
H_f,4,4,1.3678635417281007
H_f,4,4,0.925161158242728
H_f,4,4,1.9986006184796732
H_f,4,4,1.7330617495726839
H_f,4,4,1.8811165965219605
H_f,4,4,0.024285899283531514
H_f,4,4,1.1741804244576994
H_f,4,4,1.7626559192477191
H_f,4,4,1.814336963843789
H_f,4,4,1.9986175770964885
H_f,4,4,1.6770659014301876
H_f,4,4,0.8404437494298214
H_f,4,4,0.14183564778524407
H_f,4,4,0.0026132247673643846
H_f,4,4,1.9397536693623798
H_f,4,4,1.6358539361290465
H_f,4,4,1.4460219915437236
H_f,4,4,0.6643466625883266
H_f,4,4,0.06759879159200952
H_f,4,4,1.6258774379376195
H_f,4,4,0.37777580718192466
H_f,4,4,1.527732296205711
H_f,4,4,1.73480585810487
H_f,4,4,1.2323572334304025
H_f,4,4,0.6711142985752265
H_f,4,4,0.029187837595817997
H_f,4,4,1.4616929580637974
H_f,4,4,1.9936166315645465
H_f,4,4,1.5072524352656504
H_f,4,4,0.08338922227107616
H_f,4,4,0.3364010866452388
H_f,4,4,0.908690300485907
H_f,4,4,0.9412290484124429
H_f,4,4,1.0282660838211684
H_f,4,4,0.27152935056417254
H_f,4,4,0.0055540467486611565
H_f,4,4,0.23052114639561602
H_f,4,4,0.8056203302259546
H_f,4,4,0.5455233715900162
H_f,4,4,0.17674027102667786
H_f,4,4,1.192177447986515
H_f,4,4,1.877500392980091
H_f,4,4,1.4902115416454256
H_f,4,4,1.4568663228693726
H_f,4,4,1.0246780043241341
H_f,4,4,0.5824931789917369
H_f,4,4,0.3533424636314322
H_f,4,4,0.35635261541060886
H_f,4,4,0.21770509650030542
H_f,4,4,0.005822389575208491
H_f,4,4,0.0009869601907980705
H_f,4,4,0.0006576945617095073
H_f,4,4,0.002274751166092872
H_f,4,4,0.3516573559975837
H_f,4,4,1.7120329891527817
H_f,4,4,1.971714301619557
H_f,4,4,1.9992025618921232
H_f,4,4,1.9986052285782792
H_f,4,4,1.9938733432409046
H_f,4,4,1.115428634778404
H_f,4,4,0.05977478423791694
H_f,4,4,0.751687742897028
H_f,4,4,0.7357373233136638
H_f,4,4,1.3363646742508808
H_f,4,4,1.492300320603747
H_f,4,4,1.2359465187511982
H_f,4,4,0.9807747940956525
H_f,4,4,0.9565682063190937
H_f,4,4,0.9444450343506113
H_f,4,4,1.0382457886081387
H_f,4,4,1.183634217575809
H_f,4,4,0.8440603542751305
H_f,4,4,0.7039879293721667
H_f,4,4,1.0974852588681345
H_f,4,4,1.390271946938801
H_f,4,4,1.2439272004091568
H_f,4,4,0.670185374538193
H_f,4,4,1.0522352861277628
H_f,4,4,1.3606056974314464
